"id","ind","respuesta"
"a192013120902",728,"-1"
"pr2013120901",729,"-1"
"pr2013121101",730,"-1"
"a192013121101",731,"-1"
"a192013121301",732,"-1"
"pr2013121401",733,"-1"
"pr2013121402",734,"-1"
"pr2013121403",735,"-1"
"pr2013121404",736,"-1"
"a192013121601",737,"-1"
"a192013121801",738,"-1"
"pr2013122001",739,"-1"
"pr2013122002",740,"-1"
"pr2013122003",741,"-1"
"pr2013122101",742,"-1"
"rsf2013122701",743,"-1"
"pr2014010101",744,"-1"
"a192014010301",745,"-1"
"pr2014010501",746,"-1"
"pr2014011001",747,"-1"
"a192014011101",748,"-1"
"pr2014011201",749,"-1"
"pr2014011301",750,"-1"
"pr2014011601",751,"-1"
"pr2014011701",752,"-1"
"pr2014012001",753,"-1"
"a192014012101",754,"-1"
"a192014012301",755,"-1"
"a192014012501",756,"-1"
"codigodh2014012901",757,"-1"
"acuddeh2014013001",758,"-1"
"a192014013101",759,"-1"
"a192014020501",760,"-1"
"rsf2014020601",761,"-1"
"pr2014020801",762,"-1"
"a192014021101",763,"-1"
"pr2014021101",764,"-1"
"cpj2014021201",765,"-1"
"rsf2014021301",766,"-1"
"a192014021301",767,"-1"
"a192014021801",768,"-1"
"pr2014022201",769,"-1"
"pr2014022301",770,"-1"
"a192014022401",771,"-1"
"pr2014022501",772,"-1"
"acuddeh2014022701",773,"-1"
"acuddeh2014022702",774,"-1"
"a192014030101",775,"-1"
"pr2014030201",776,"-1"
"a192014030301",777,"-1"
"pr2014030401",778,"-1"
"acuddeh2014030701",779,"-1"
"a192014031101",780,"-1"
"pr2014031201",781,"-1"
"a192014031301",782,"-1"
"rsf2014031301",783,"-1"
"a192014031701",784,"-1"
"pr2014031701",785,"-1"
"acuddeh2014031801",786,"-1"
"acuddeh2014031802",787,"-1"
"pr2014031901",788,"-1"
"pr2014032001",789,"-1"
"a192014032001",790,"-1"
"pr2014032601",791,"-1"
"a192014033101",792,"-1"
"a192014040101",793,"-1"
"pr2014040201",794,"-1"
"a192014040201",795,"-1"
"acuddeh2014040201",796,"-1"
"cpj2014040301",797,"-1"
"pr2014040301",798,"-1"
"a192014040301",799,"-1"
"rsf2014040401",800,"-1"
"a192014040701",801,"-1"
"pr2014040701",802,"-1"
"pr2014040801",803,"-1"
"rsf2014040901",804,"-1"
"cerezo2014041001",805,"-1"
"codigodh2014041101",806,"-1"
"a192014041501",807,"-1"
"acuddeh2014041601",808,"-1"
"acuddeh2014041602",809,"-1"
